feature,mdi_importance,perm_importance,perm_importance_std
depth_lag_1q,0.5042545862034008,0.7764187377904691,0.006084641042275349
depth_lag_2q,0.36871086118798874,0.29938747693409096,0.002549617496333607
longitude,0.039124975372641424,-0.000159649971935516,1.5166430794691085e-05
month,0.013432681925652416,0.005989384506622087,0.00016079937496476067
rainfall_rolling_6m,0.012780264016100065,0.0005543734278392054,3.2430730986273634e-05
district_encoded,0.011769340870718133,-2.9554549386612282e-05,7.007026923785086e-06
rainfall_lag_3m,0.009388730202090937,0.001162030741036646,7.678034047294414e-05
rainfall_lag_2m,0.007859078342437003,0.001748257461177305,8.634706893805606e-05
rainfall_lag_1m,0.005079580112077912,0.0009545501254937805,5.01136478571576e-05
elevation_m,0.004570960413931067,0.00018026285584609169,2.3536445637953988e-05
rainfall_rolling_3m,0.004418601518861488,0.0011877956220103236,6.698532481864667e-05
latitude,0.002357408155584555,8.98267474402914e-07,1.0255521991235225e-05
humidity,0.002114084364737616,0.0004318896835308839,4.2206561388334916e-05
soil_type_encoded,0.001972618905484692,0.00045961297768102314,4.494569799831808e-05
ndvi,0.0018446144496103254,0.0002751652154981521,3.3726086645275944e-05
season_encoded,0.0017900945934621294,0.0002929264739970461,5.45327211302482e-05
slope_degree,0.0014839007590317032,-9.966505416991734e-06,1.5689399023390306e-05
rainfall_mm,0.0011510092004888524,7.397473033144974e-05,1.5864892578289575e-05
evapotranspiration,0.0010759098234467642,0.00021817033405470144,2.8535925702387957e-05
temperature_avg,0.001053161293637761,0.00020662434598611723,2.0276402043886342e-05
soil_moisture_index,0.0009548811531672982,4.7383841011217065e-05,2.1759880990521813e-05
rainfall_x_soilmoist,0.000867039337236124,4.868872390907386e-05,2.9001052752086383e-05
temp_rainfall_ratio,0.0008506350084930901,2.7953973288596946e-05,1.9589131652036286e-05
cumulative_deficit,0.0006055408044548417,-1.1467309205304143e-05,1.6143061964468866e-05
rainfall_deficit,0.0004894419852643447,2.4168723918283062e-05,1.4595893463901842e-05
